--- When using SR data, please cite us and provide a link and/or a mention.


 
,
School,Conf
Gonzaga,WCC
Baylor,Big 12
Illinois,Big Ten
Michigan,Big Ten
Houston,AAC
Iowa,Big Ten
Southern California,Pac-12
Alabama,SEC
Colorado,Pac-12
Ohio State,Big Ten
Arkansas,SEC
Villanova,Big East
Wisconsin,Big Ten
Florida State,ACC
Tennessee,SEC
Texas Tech,Big 12
UCLA,Pac-12
Creighton,Big East
Oregon,Pac-12
Connecticut,Big East
Louisiana State,SEC
Purdue,Big Ten
Texas,Big 12
West Virginia,Big 12
Kansas,Big 12
Virginia,ACC
Brigham Young,WCC
Loyola (IL),MVC
Arizona,Pac-12
North Carolina,ACC
San Diego State,MWC
Rutgers,Big Ten
Maryland,Big Ten
Memphis,AAC
Florida,SEC
Colgate,Patriot
Oklahoma State,Big 12
Penn State,Big Ten
Oklahoma,Big 12
St. Bonaventure,A-10
Syracuse,ACC
Duke,ACC
Georgia Tech,ACC
Indiana,Big Ten
Virginia Tech,ACC
Clemson,ACC
Missouri,SEC
Utah,Pac-12
Kentucky,SEC
Saint Louis,A-10
Oregon State,Pac-12
Virginia Commonwealth,A-10
Mississippi,SEC
Seton Hall,Big East
Xavier,Big East
Minnesota,Big Ten
Utah State,MWC
Southern Methodist,AAC
Louisville,ACC
Stanford,Pac-12
Georgetown,Big East
Auburn,SEC
Michigan State,Big Ten
Boise State,MWC
Northwestern,Big Ten
North Carolina State,ACC
Drake,MVC
St. John's (NY),Big East
Wichita State,AAC
Mississippi State,SEC
Richmond,A-10
Davidson,A-10
Providence,Big East
Marquette,Big East
Washington State,Pac-12
Colorado State,MWC
Saint Mary's (CA),WCC
Pittsburgh,ACC
UC-Santa Barbara,Big West
Notre Dame,ACC
North Texas,CUSA
Arizona State,Pac-12
Wright State,Horizon
Louisiana Tech,CUSA
Georgia,SEC
Toledo,MAC (West)
Buffalo,MAC (East)
Dayton,A-10
Abilene Christian,Southland
Vanderbilt,SEC
Nebraska,Big Ten
San Francisco,WCC
Furman,Southern
Central Florida,AAC
Alabama-Birmingham,CUSA
Marshall,CUSA
Pepperdine,WCC
Loyola Marymount,WCC
Ohio,MAC (East)
Nevada,MWC
Rhode Island,A-10
Western Kentucky,CUSA
Missouri State,MVC
Grand Canyon,WAC
University of California,Pac-12
Massachusetts,A-10
Butler,Big East
Winthrop,Big South
Tulsa,AAC
UC-Riverside,Big West
Liberty,A-Sun
Eastern Washington,Big Sky
Cincinnati,AAC
North Carolina-Greensboro,Southern
Belmont,OVC
UC-Irvine,Big West
South Carolina,SEC
South Dakota State,Summit
Miami (FL),ACC
Weber State,Big Sky
DePaul,Big East
Pacific,WCC
Texas Christian,Big 12
Temple,AAC
Duquesne,A-10
Texas A&M,SEC
Indiana State,MVC
Vermont,AEC
George Mason,A-10
Washington,Pac-12
Akron,MAC (East)
Wofford,Southern
Kent State,MAC (East)
Oral Roberts,Summit
Wake Forest,ACC
East Tennessee State,Southern
Mercer,Southern
Texas-El Paso,CUSA
Tulane,AAC
Navy,Patriot
East Carolina,AAC
Boston College,ACC
Kansas State,Big 12
Southern Utah,Big Sky
Bradley,MVC
Army,Patriot
South Florida,AAC
